x,value,size
27.4,44.1,1.828
29.6,40.1,2.515
30.6,47.9,1148.0
28.3,32.8,12.974
32.3,42.5,1.986
31.9,28.3,1.337
33.7,33.7,334.0
11.6,13.1,287.0
27.3,35.7,7.609
27.3,40.1,3.798
34.6,42.7,568.0
26.3,32.4,5.026
34.4,39.9,2.478
30.3,33.4,1.219
33.3,42.3,1.133
36.8,45.9,1.777
25.9,36.4,1.702
46.4,34.6,548.0
29.8,30.8,2.169
34.1,23.6,2.6180000000000003
31.3,34.6,3.804
29.7,31.9,2.1630000000000003
29.1,45.2,1115.0
32.2,45.9,2.498
33.6,41.2,410.0
31.3,33.8,710.0
30.3,37.1,986.0
34.2,30.3,508.0
25.3,32.4,3.177
32.0,46.0,773.0
29.1,29.0,7.5120000000000005
29.5,40.3,3.701
31.4,36.1,272.0
33.3,36.6,4.6610000000000005
32.6,43.2,1.479
40.2,38.8,1.505
33.8,32.9,5.172000000000001
27.6,29.3,434.0
27.8,38.6,1.7590000000000001
39.1,42.8,333.0
29.8,44.1,2.583
28.3,44.0,9.002
24.6,29.4,930.0
49.5,37.7,265.0
29.0,35.4,3.017
39.0,36.3,2.6319999999999997
38.1,45.8,765.0
33.0,33.9,2.35
33.9,38.8,221.0
,,